mean_variance	median_variance	nun5	nun20	nun50
"AGAP000242"	7.92684244346742	7.47043483669015	58	135	203
"AGAP000243"	9.02879676435806	8.94326450332869	81	209	386
"AGAP000244"	9.30543371540778	8.22721699994592	58	137	260
"AGAP000245"	3.62652489717126	3.3906768345172	142	491	1000
"AGAP000246"	1.65568496113368	1.37743760217376	133	447	878
"AGAP000247"	8.62918252510297	7.69088119653588	35	84	163
"AGAP000249"	8.99107480002411	7.89819566224752	72	152	267
"AGAP000250"	8.590553546577	8.41815944389619	73	172	273
"AGAP000251"	8.4991390912171	8.02952963847802	53	117	200
"AGAP000252"	9.55131695876116	8.68548912781552	31	80	150
"AGAP000253"	6.15429603772065	5.87575066221892	93	214	358
"AGAP000254"	1.09110271303088	0.694390795143221	116	322	598
"AGAP000255"	8.18037960692142	7.78044689277624	58	127	193
"AGAP000256"	9.62490747430878	8.53084604096462	42	80	128
"AGAP000258"	4.43997399223879	4.03302115182478	109	288	500
"AGAP000260"	1.0336114576139	0.633217904985628	113	270	453
"AGAP000261"	3.4197545842727	3.18881751221116	139	461	936
"AGAP000262"	8.74253544336483	7.77586079283168	35	87	160
"AGAP000264"	8.49751354070314	7.68846502441465	43	105	179
"AGAP000266"	0.983426546746522	0.573751882294687	51	172	334
"AGAP000267"	7.52886804796669	7.17935797026786	98	257	517
"AGAP000268"	2.20701472282611	1.781836956527	136	448	930
"AGAP000269"	9.20933146040912	9.02474775113303	109	328	674
"AGAP000270"	7.68964099006258	7.42410961568203	75	193	310
"AGAP000271"	9.917171905185	8.66399815502206	20	47	82
"AGAP000272"	4.59213103634875	4.59469837391636	123	356	636
"AGAP000273"	10.111595569559	8.79128841519179	14	44	91
"AGAP000274"	4.26673831252472	4.11357192900118	90	191	332
"AGAP000275"	4.0192529703419	4.07208212561537	126	425	848
"AGAP000277"	5.99682090846428	5.52271274200285	104	247	354
"AGAP000278"	1.14011826746899	0.763995302226171	115	290	514
"AGAP000279"	5.09378945191946	4.83630180052589	72	178	269
"AGAP000280"	8.65868549373642	7.89081762590111	58	138	225
"AGAP000281"	6.68740850537174	5.93548166813534	102	268	426
"AGAP000283"	2.59728068815403	2.37479161947984	120	342	684
"AGAP000284"	8.77018217488653	8.77322192908741	84	222	394
"AGAP000285"	2.03101890900967	1.7847417619418	132	405	730
"AGAP000286"	9.56849309950625	8.52499354434293	30	67	102
"AGAP000287"	3.86068601675712	3.71007493557158	112	287	462
"AGAP000288"	1.91405752562775	1.60440548395984	113	396	768
"AGAP000289"	8.68525274368402	8.78205574624794	60	153	279
"AGAP000290"	9.06531394088676	8.14423194745319	48	106	177
"AGAP000292"	9.61250677594118	8.5540099964764	65	129	183
"AGAP000293"	8.26554228546093	7.39676689413658	33	83	158
"AGAP000294"	8.23306983050545	6.97100695646888	35	101	239
"AGAP000295"	7.36102782481197	6.80558367014905	67	174	324
"AGAP000296"	8.45669148942417	7.53060584728518	117	334	608
"AGAP000297"	2.00076337996385	1.70442143194872	135	466	922
"AGAP000298"	2.05377371308609	1.83004024701674	119	347	629
"AGAP000299"	2.02907561376088	1.74656516813216	108	278	507
"AGAP000300"	10.2637881818378	8.768780675803	11	35	67
"AGAP000303"	8.62490951678315	7.82912119459025	44	104	171
"AGAP000304"	2.52732834693105	2.22305418796856	138	442	840
"AGAP000305"	1.72211193232466	1.33154024143095	117	332	621
"AGAP000306"	0.985799247542367	0.558926044805439	105	305	550
"AGAP000307"	10.2447275430377	8.71564649493134	14	31	63
"AGAP000308"	3.63522677418688	3.33279909389676	123	361	620
"AGAP000309"	9.45230702794029	8.38487056399529	28	68	119
